Model,Context_Length,Strand,Log_Likelihood
pre_train,25000,+,-30.49945
pre_train,25000,+,-752.0619
pre_train,25000,+,-267.1426
pre_train,25000,+,-69418.86
pre_train,25000,+,-141.7466
pre_train,25000,+,-40.54237
pre_train,25000,+,-642479.3
pre_train,25000,+,-11.93817
pre_train,25000,+,-12745590.0
pre_train,25000,+,-6050.582
pre_train,25000,+,-25.91855
pre_train,25000,+,-35576880.0
pre_train,25000,+,-1289960.0
pre_train,25000,+,-0.06918978
pre_train,25000,+,-0.07427314
pre_train,25000,-,-1.187464
pre_train,25000,+,-524.5473
pre_train,5000,-,-484958800.0
pre_train,5000,-,-2.858247
pre_train,5000,-,-22534600000000.0
pre_train,5000,-,-25338950.0
pre_train,5000,-,-476962200.0
pre_train,50000,+,-3.842895
pre_train,50000,+,-126.1632
pre_train,50000,+,-73867.11
pre_train,50000,+,-359707.7
pre_train,50000,+,-227.4051
pre_train,50000,+,-1.729489
pre_train,50000,+,-54.30273
pre_train,50000,+,-5.801111
pre_train,50000,+,-90.54258
pre_train,50000,+,-8413316.0
pre_train,50000,+,-378845.9
pre_train,50000,+,-47182700000.0
pre_train,50000,+,-76.06055
pre_train,50000,+,-901.3535
pre_train,50000,+,-253.9708
pre_train,50000,-,-195125.9
pre_train,50000,+,-0.3553344
pre_train,50000,+,-6384918000.0
pre_train,50000,+,-0.1339411
pre_train,50000,+,-0.06169718
pre_train,50000,+,-0.3201951
pre_train,50000,-,-3.492306e+27
pre_train,50000,+,-18.74138
pre_train,50000,-,-68.13275
pre_train,50000,-,-15912510000000.0
pre_train,50000,-,-3526751.0
pre_train,50000,-,-2.72641
pre_train,50000,-,-0.1009371
pre_train,50000,-,-879.0948
pre_train,50000,-,-8189.212
pre_train,50000,-,-41.4244
pre_train,50000,-,-14.91968
pre_train,50000,-,-10672470.0
pre_train,50000,-,-394.9079
pre_train,50000,-,-1.036988
pre_train,50000,-,-45403150.0
pre_train,50000,-,-402.7915
pre_train,50000,-,-144.2341
pre_train,50000,-,-576.5373
pre_train,50000,-,-1.420391
pre_train,50000,-,-1113.783
pre_train,50000,-,-241.0462
pre_train,50000,-,-899.6137
pre_train,50000,-,-890.0501
pre_train,50000,-,-125.3423
pre_train,50000,-,-86.14677
pre_train,50000,-,-422.2488
pre_train,50000,-,-2166322.0
pre_train,50000,-,-0.1871452
pre_train,50000,-,-411.6082
pre_train,50000,+,-0.1001175
pre_train,50000,+,-17.07174
pre_train,50000,-,-11880.0
pre_train,50000,-,-1.179685
pre_train,50000,-,-4.55391
pre_train,50000,-,-22.72896
pre_train,50000,-,-1700.1
pre_train,50000,-,-1.880513
pre_train,50000,-,-0.113017
pre_train,50000,-,-809.3477
pre_train,50000,-,-2.639999
pre_train,50000,-,-0.9988071
pre_train,50000,-,-16.11481
pre_train,50000,-,-0.3718946
pre_train,50000,-,-6.993798
pre_train,50000,-,-8397.382
pre_train,50000,-,-123.6828
pre_train,50000,-,-4551.218
pre_train,50000,-,-228813.7
pre_train,50000,-,-26.36472
pre_train,50000,-,-581213.0
pre_train,50000,-,-1.193383
pre_train,50000,-,-4.373408
pre_train,50000,-,-8.238731
pre_train,50000,-,-188423.9
pre_train,50000,-,-515.5627
pre_train,50000,-,-15.56674
pre_train,50000,-,-3.114017
pre_train,50000,-,-2738.314
pre_train,50000,-,-159.5281
pre_train,50000,-,-943.0637
pre_train,1000,+,-14679.33
pre_train,1000,+,-66284.73
pre_train,1000,+,-99.31075
pre_train,1000,+,-14308.08
pre_train,1000,+,-9.491287
pre_train,10000,+,-2.427256
pre_train,10000,+,-407373100000.0
pre_train,10000,+,-46.26128
pre_train,10000,+,-5613.8
pre_train,10000,+,-2661.149
pre_train,10000,-,-13327.18
pre_train,10000,-,-3408.778
